faculty,disease
呼吸内科,感冒
呼吸内科,慢性支气管炎
呼吸内科,哮喘
呼吸内科,肺气肿
呼吸内科,支气管扩张
呼吸内科,肺炎
呼吸内科,百日咳
呼吸内科,支原体肺炎
呼吸内科,气胸
呼吸内科,疱疹性咽峡炎
呼吸内科,成人呼吸窘迫综合征
呼吸内科,鼾症
消化内科,胃病
消化内科,慢性胃炎
消化内科,胃癌
消化内科,便秘
消化内科,慢性腹泻
消化内科,急性胃炎
消化内科,急性腐蚀性胃炎
消化内科,胃肠道功能紊乱
消化内科,食物中毒
消化内科,腹痛
消化内科,大肠癌
消化内科,消化性溃疡
神经内科,癫痫
神经内科,头痛
神经内科,坐骨神经痛
神经内科,神经衰弱
神经内科,偏头痛
内分泌科,糖尿病
内分泌科,甲亢
血液科,白血病
血液科,地中海贫血
血液科,淋巴瘤
血液科,再生障碍性贫血
血液科,过敏性紫癜
血液科,维生素B12缺乏所致贫
血液科,缺铁性贫血
血液科,贫血
风湿科,红斑狼疮
风湿科,痛风
风湿科,强直性脊柱炎
肾内科,尿路感染
肾内科,慢性肾炎
肾内科,肾积水
肾内科,尿道炎
肾内科,尿毒症
肾内科,肾囊肿
肾内科,肾结石
肾内科,急性肾炎
肾内科,肾病综合征
心血管内科,高血压
心血管内科,冠心病
心血管内科,心肌炎
心血管内科,心肌梗死
心血管内科,先天性心脏病
心血管内科,心律失常
心血管内科,窦性心动过速
心血管内科,心绞痛
肿瘤科,骨肉瘤
肿瘤科,皮肤癌
肿瘤科,阴茎癌
肿瘤科,膀胱癌
肿瘤科,卵巢癌
肿瘤科,胆管癌
肿瘤科,胰腺癌
肿瘤科,鼻咽癌
肿瘤科,食管癌
肿瘤科,肺癌
肿瘤科,原发性肝癌
妇科,宫外孕
妇科,闭经
妇科,淋球菌感染
妇科,念珠菌性阴道炎
妇科,坐骨疝
妇科,先天性无阴道
妇科,出血性输卵管炎
妇科,卵巢癌
妇科,蛲虫性阴道炎
妇科,子宫下垂
妇科,细菌性阴道炎
妇科,滴虫性阴道炎
妇科,乳腺癌
妇科,乳房结核
妇科,子宫肌瘤
妇科,宫颈癌
妇科,附件炎
妇科,卵泡囊肿
妇科,乳房纤维瘤
妇科,子宫内膜增生
妇科,痛经
妇科,非淋菌性尿道炎
妇科,卵巢囊肿
妇科,输卵管炎
妇科,子宫破裂
妇科,不孕症
妇科,复发性卵巢恶性肿瘤
妇科,卵巢肿瘤
妇科,失血性休克
妇科,过期妊娠
妇科,盆腔炎
妇科,宫颈癌
妇科,卵巢巧克力囊肿破
妇科,输卵管阻塞性不孕
妇科,乳腺增生
妇科,宫颈糜烂
妇科,乳腺囊性增生病
妇科,外阴痛
妇科,产褥感染
妇科,外阴瘙痒
妇科,宫颈息肉
妇科,卵巢破裂
妇科,外阴瘙痒
妇科,性交疼痛
妇科,乳腺炎
妇科,宫外孕
妇科,毛滴虫病
妇科,外阴湿疹
妇科,子宫肌瘤
妇科,宫颈腺癌
妇科,子宫内膜炎
妇科,细菌性阴道炎
妇科,月经不调
妇科,过敏性阴道炎
妇科,霉菌性阴道炎
妇科,月经不调
妇科,崩漏
妇科,宫颈炎
妇科,麦格综合征
妇科,子宫颈平滑肌瘤
儿科,小儿中暑和暑热症
儿科,百日咳
儿科,母乳性黄疸
儿科,小儿发烧
儿科,败血症
儿科,奶癣
儿科,小儿肺炎
儿科,地中海贫血
儿科,尿布疹
儿科,小儿脑瘫
儿科,手足口病
儿科,儿童遗尿症
儿科,婴幼儿腹泻
儿科,疝气
儿科,小儿营养不良
儿科,自闭症
儿科,小儿多动症
儿科,新生儿败血症
儿科,小儿厌食症
儿科,小儿肺炎
儿科,早产儿
儿科,风疹
儿科,小儿肥胖症
儿科,鹅口疮
儿科,麻疹
儿科,小儿发烧
儿科,新生儿缺氧缺血性
儿科,新生儿黄疸
儿科,小儿感冒
儿科,小儿急性支气管炎
儿科,流行性腮腺炎
儿科,小儿哮喘
儿科,白血病
儿科,性早熟
产科,产后出血
产科,羊水栓塞
产科,产后虚脱
产科,早产
产科,弓形虫病
产科,子宫破裂
产科,流产
产科,产褥期乳腺炎
产科,失血性休克
产科,难产
产科,胎儿先天畸形
产科,妊高征
产科,胎位异常
产科,破水
产科,新生儿窒息
产科,急性化脓性乳腺炎
产科,羊膜带综合征
产科,胎盘早剥
男科,早泄
男科,阳痿
男科,精索静脉曲张
男科,包皮阴茎头炎
男科,精索静脉曲张
男科,阴茎癌
男科,阴茎小
男科,睾丸炎
男科,前列腺癌
男科,阴茎异常勃起
男科,非细菌性前列腺炎
男科,包茎
男科,包皮龟头炎
男科,遗精
男科,附睾炎
男科,性欲亢进
男科,不射精症
男科,慢性细菌性前列腺
男科,前列腺炎
男科,睾丸扭转
男科,男性不育症
男科,前列腺增生
男科,包皮过长
男科,少精症
男科,精囊炎
男科,淋病合并症前列腺炎
皮肤科,湿疹
皮肤科,斑秃
皮肤科,酒渣鼻
皮肤科,脚气
皮肤科,白屑风
皮肤科,麻风病
皮肤科,荨麻疹
皮肤科,冻疮
皮肤科,麻疹
皮肤科,皮肤过敏
皮肤科,耳湿疹
皮肤科,毛囊炎
皮肤科,阴囊湿疹
皮肤科,银屑病
皮肤科,牛痘
皮肤科,白癜风
皮肤科,红斑狼疮
皮肤科,手足癣
皮肤科,痤疮
皮肤科,红癣
皮肤科,狐臭
皮肤科,带状疱疹
皮肤科,坏疽性脓皮症
皮肤科,牛皮癣
皮肤科,汗疱症
皮肤科,雀斑
皮肤科,花柳病
皮肤科,鸡眼
皮肤科,脚癣
皮肤科,白化病
皮肤科,疥疮
性病科,尖锐湿疣
性病科,艾滋病
性病科,梅毒
性病科,生殖器疱疹
性病科,淋病
性病科,生殖器念珠菌病
性病科,生殖器疱疹
性病科,生殖器念珠菌病
性病科,二期梅毒
性病科,一期梅毒
性病科,潜伏梅毒
性病科,腹股沟肉芽肿
性病科,三期梅毒
性病科,肝病病毒性肝炎
性病科,丙型肝炎病毒感染
性病科,肝结核
性病科,肝瘟
性病科,甲型病毒性肝炎
性病科,肝炎
精神病科,网瘾
精神病科,癔症
精神病科,焦虑症
精神病科,抑郁性神经症
精神病科,躁狂症
精神病科,性冷淡
精神病科,性心理障碍
精神病科,性障碍
精神病科,失眠
精神病科,情感障碍
精神病科,强迫症
精神病科,性变态
精神病科,恐怖症
精神病科,精神分裂症
精神病科,磨牙
精神病科,人格障碍
精神病科,抑郁症
精神病科,疑病症
精神病科,自闭症
精神病科,偏执性精神障碍
眼科,白内障
眼科,结膜炎
眼科,散光
眼科,并发症白内障
眼科,近视眼
眼科,沙眼
眼科,玻璃体出血
眼科,角膜炎
眼科,色盲
眼科,青光眼
眼科,眶底骨折
眼科,视网膜病变
眼科,反向斜视
眼科,泪腺炎
眼科,视网膜脱落
眼科,干眼
眼科,麦粒肿
眼科,斜视
眼科,巩膜炎
眼科,缺血性视神经病变
眼科,雪盲
眼科,红眼病
眼科,弱视
眼科,眼弓蛔虫病
眼科,干眼症
眼科,球后视神经炎
眼科,角膜炎
眼科,眼眶脓肿
耳鼻喉科,鼻疖
耳鼻喉科,过敏性鼻炎
耳鼻喉科,面肌痉挛
耳鼻喉科,鼻息肉
耳鼻喉科,鼓膜外伤
耳鼻喉科,乳突炎
耳鼻喉科,鼻前庭炎
耳鼻喉科,喉癌
耳鼻喉科,听力障碍
耳鼻喉科,鼻咽癌
耳鼻喉科,喉痹
耳鼻喉科,突发性耳聋
耳鼻喉科,鼻炎
耳鼻喉科,喉炎
耳鼻喉科,嗅觉障碍
耳鼻喉科,鼻咽炎
耳鼻喉科,喉阻塞
耳鼻喉科,咽部异物
耳鼻喉科,鼻出血
耳鼻喉科,酒渣鼻
耳鼻喉科,中耳炎
耳鼻喉科,鼻骨骨折
耳鼻喉科,急性鼻咽炎
耳鼻喉科,扁桃体炎
耳鼻喉科,枯草热
耳鼻喉科,耳聋
耳鼻喉科,慢性鼻炎
耳鼻喉科,耳疖
耳鼻喉科,慢性鼻咽炎
口腔科,扁平苔癣
口腔科,口臭
口腔科,唇裂
口腔科,口角炎
口腔科,垂痈
口腔科,口糜
口腔科,唇疱疹
口腔科,口腔溃疡
口腔科,单纯性牙周炎
口腔科,流行性腮腺炎
口腔科,鹅口疮
口腔科,龋齿
口腔科,腭裂
口腔科,牙痈
口腔科,二氧化硫中毒
口腔科,牙周炎
口腔科,氟牙症
口腔科,牙髓病
口腔科,根尖周病
口腔科,颌骨骨折
心胸外科,闭合性气胸
心胸外科,鸡胸
心胸外科,早搏
心胸外科,病毒性心肌炎
心胸外科,急性心包炎
心胸外科,怔忡
心胸外科,穿透性心脏外伤
心胸外科,咳嗽晕厥综合征
心胸外科,主动脉瘤
心胸外科,创伤窒息综合征
心胸外科,淋巴管肌瘤
心胸外科,原发性心脏肿瘤
心胸外科,单心房
心胸外科,慢性肺炎
心胸外科,胸膜炎
心胸外科,动脉瘤
心胸外科,慢性心包炎
心胸外科,心律失常
心胸外科,动脉硬化
心胸外科,慢性心力衰竭
心胸外科,胸腺癌
心胸外科,恶性胸腔积液
心胸外科,脓胸
心胸外科,心肌炎
心胸外科,肺癌
心胸外科,气管梗阻
心胸外科,心厥
心胸外科,肺水肿
心胸外科,失血性休克
心胸外科,心肌梗塞
心胸外科,高血压
心胸外科,支气管发育不全
心胸外科,膈肌膨出
心胸外科,胸腔积液
脑外科,闭合性脑外伤
脑外科,颅内黑色素瘤
脑外科,脑血吸虫病
脑外科,表皮囊肿
脑外科,颅骨结核
脑外科,脑膜瘤
脑外科,痴呆
脑外科,脑出血
脑外科,脑蛛网膜炎
脑外科,垂体瘤
脑外科,脑积水
脑外科,丘脑下部损伤
脑外科,高颅压性脑积水
脑外科,脑痨
脑外科,头风病
脑外科,高血压脑出血
脑外科,脑梗塞
脑外科,偏头痛
脑外科,弓形体脑病
脑外科,脑瘤
脑外科,中风
脑外科,脊椎结核
脑外科,脑膜炎
脑外科,颅骨缺损
脑外科,脑栓塞
脑外科,颅内肿瘤
脑外科,脑萎
脑外科,颅骨骨髓炎
脑外科,脑血栓
脑外科,颅咽管瘤
脑外科,脑震荡
肝胆外科,胆结石
肝胆外科,胰腺炎
肝胆外科,胆囊癌
肝胆外科,胰腺癌
肝胆外科,胆管扩张症
肝胆外科,肝硬化
肝胆外科,胆总管结石
肝胆外科,肝癌
肝胆外科,胆囊息肉
肝胆外科,胆汁返流性胃炎
肝胆外科,胆道出血
肝胆外科,肝脓肿
肝胆外科,结石性胆囊炎
肝胆外科,慢性肝炎
肝胆外科,慢性胆囊炎
泌尿外科,包皮龟头炎
泌尿外科,尿瘘
泌尿外科,输尿管炎
泌尿外科,产褥感染
泌尿外科,尿道炎
泌尿外科,肾下垂
泌尿外科,胆石症
泌尿外科,膀胱炎
泌尿外科,输尿管结石
泌尿外科,非肾上腺素增生性
泌尿外科,膀胱瘘
泌尿外科,阴囊癌
泌尿外科,腹股沟疝
泌尿外科,膀胱结石
泌尿外科,遗精
泌尿外科,附睾炎
泌尿外科,前列腺炎
泌尿外科,阴茎结核
泌尿外科,梗阻性肾病
泌尿外科,前列腺增生
泌尿外科,鞘膜积液
泌尿外科,急性膀胱炎
泌尿外科,肾积水
泌尿外科,支原体尿路感染
泌尿外科,精囊结石
泌尿外科,肾结石
泌尿外科,真菌性尿路感染
泌尿外科,急性肾小球肾炎
泌尿外科,肾功能衰减
泌尿外科,肾小球肾炎
肛肠外科,白线疝
肛肠外科,肛裂
肛肠外科,外痔
肛肠外科,鞭虫病
肛肠外科,肛门瘙痒症
肛肠外科,小肠肿瘤
肛肠外科,大便失禁
肛肠外科,肛周脓肿
肛肠外科,腰疝
肛肠外科,大肠癌
肛肠外科,肛提肌综合征
肛肠外科,痔疮
肛肠外科,大肠恶性淋巴瘤
肛肠外科,急性阑尾炎
肛肠外科,肿瘤性息肉
肛肠外科,大肠梗阻
肛肠外科,混合痔
肛肠外科,直肠癌
肛肠外科,大肠类癌
肛肠外科,结肠癌
肛肠外科,大肠息肉
肛肠外科,结肠瘘
肛肠外科,腹内疝
肛肠外科,结肠破裂
肛肠外科,肛窦炎
肛肠外科,内痔
肛肠外科,肛瘘
肛肠外科,蛲虫病
骨科,肩周炎
骨科,骨质增生
骨科,关节脱位
骨科,脊椎结核
骨科,坐骨神经痛
骨科,鼻骨骨折
骨科,风湿性关节炎
骨科,踝扭伤
骨科,颈椎病
骨科,坐骨疝
骨科,半椎体畸形
骨科,高弓足
骨科,踝部骨折
骨科,肋骨骨折
骨科,肘关节脱位
骨科,扁平足
骨科,跟骨骨折
骨科,滑囊炎
骨科,类风湿性关节炎
骨科,椎间盘突出症
骨科,髌骨骨折
骨科,复发性风湿病
骨科,褐黄病
骨科,孟氏骨折
骨科,髌腱断裂
骨科,股骨头坏死
骨科,踝关节脱位
骨科,平底足
骨科,布氏杆菌性关节炎
骨科,骨折
骨科,脊柱炎
骨科,软骨发育不全
骨科,变形性骨炎
骨科,网球肘
骨科,腱鞘炎
骨科,鼠标手
骨科,成人骨坏死
骨科,骨髓炎
骨科,筋膜炎
骨科,膝关节脱位
骨科,耻骨炎
骨科,骨膜炎
骨科,腱鞘囊肿
骨科,腰椎间盘突出
骨科,脆弱性骨硬化
骨科,骨关节炎
骨科,筋痹
骨科,腰肌劳损
外伤科,败血症
外伤科,鼻疖
外伤科,创伤性鼻出血
外伤科,断指再植
外伤科,电击伤
外伤科,喉部创伤
外伤科,创伤性休克
外伤科,创伤性气胸
外伤科,不动杆菌感染
外伤科,创伤窒息综合征
烧伤科,电烧伤
烧伤科,冻僵
烧伤科,化学烧伤
烧伤科,浸渍足
烧伤科,钠过多
烧伤科,热烧伤
烧伤科,烧伤感染
烧伤科,小儿烧伤
烧伤科,咽部灼伤
烧伤科,烧伤休克
乳腺外科,柏哲病
乳腺外科,乳腺增生
乳腺外科,乳腺癌
乳腺外科,乳腺结核
乳腺外科,乳头内陷
乳腺外科,男性乳房肥大症
乳腺外科,多乳房
乳腺外科,乳房棘球蚴病
乳腺外科,乳房缺少症
乳腺外科,乳房神经纤维瘤
手外科,腱鞘囊肿
手外科,疖
手外科,多指畸形
手外科,脓肿
手外科,甲沟炎和甲下脓肿
手外科,柯莱斯骨折
手外科,尺神经损伤
胃肠外科,半月线疝
胃肠外科,闭孔疝
胃肠外科,胞痹
胃肠外科,肠瘘
胃肠外科,肠结
胃肠外科,肠扭转
胃肠外科,残胃淋巴瘤
血管外科,鼻血管瘤
血管外科,肺血管炎
血管外科,管炎肠系膜动脉瘤
血管外科,肺动静脉瘤
血管外科,腹主动脉瘤
血管外科,腹壁血栓性静脉炎
血管外科,肠系膜动脉瘤